Date,V,H,V1,V2,V3,V4,VFinal,H1,H2,H3,H4,HFinal,OpenOU,OpenVHSpd,CloseOU,CloseVHSpd,VML,HML,SecondOU,SecondVHSpd
1017,Boston,Cleveland,19,19,33,28,99,29,25,18,30,102,214.5,-4.0,216.0,-4.5,166,-195,110.0,1.5
1017,Houston,GoldenState,34,28,26,34,122,35,36,30,20,121,232.0,-9.0,231.5,-9.0,364,-470,115.5,-2.5
1018,Brooklyn,Indiana,30,33,35,33,131,29,36,41,34,140,212.0,-3.5,216.5,-3.0,135,-155,112.5,-1.5
1018,Philadelphia,Washington,23,36,23,33,115,32,24,34,30,120,215.5,-6.5,217.5,-6.5,240,-300,108.5,-6.0
1018,Miami,Orlando,37,18,23,31,109,32,26,30,28,116,207.0,3.0,205.5,3.5,-170,145,100.0,4.0
1018,Charlotte,Detroit,27,18,25,20,90,29,27,26,20,102,204.0,-3.0,202.0,-2.5,125,-145,100.0,2.5
1018,Milwaukee,Boston,24,34,18,32,108,26,27,27,20,100,208.5,-6.0,203.0,-1.5,105,-125,101.0,-2.0
1018,NewOrleans,Memphis,34,18,18,21,91,27,27,25,24,103,205.0,-3.0,204.5,-2.0,110,-130,100.5,-0.5
1018,Atlanta,Dallas,27,31,24,35,117,24,23,35,29,111,199.5,-6.5,199.0,-5.5,190,-240,103.5,-6.0
1018,Denver,Utah,30,28,25,13,96,21,28,29,28,106,209.0,-2.0,205.0,-2.5,120,-140,101.5,-3.5
1018,Minnesota,SanAntonio,25,24,28,22,99,32,21,34,20,107,207.0,-3.0,203.5,-1.5,105,-125,100.0,1.0
1018,Houston,Sacramento,26,26,23,30,105,25,23,24,28,100,218.5,9.0,216.5,7.0,-310,250,105.0,2.5
1018,Portland,Phoenix,29,31,38,26,124,21,14,20,21,76,220.0,1.0,219.5,2.5,-140,120,113.0,-5.0
1019,Chicago,Toronto,23,14,27,37,101,25,33,26,33,117,206.0,-12.0,206.5,-14.0,800,-1400,101.0,-1.5
1019,NewYork,OklahomaCity,24,18,17,25,84,27,26,26,26,105,213.0,-11.5,215.5,-12.5,650,-1000,103.5,-3.5
1019,LAClippers,LALakers,27,26,34,21,108,19,23,21,29,92,218.5,4.5,219.0,6.5,-260,210,108.5,-0.0
1020,Boston,Philadelphia,24,22,23,33,102,21,29,22,20,92,216.5,1.0,217.0,-3.0,130,-150,112.0,-0.5
1020,Atlanta,Charlotte,28,28,17,18,91,18,31,35,25,109,202.5,-6.0,205.5,-4.5,160,-190,107.5,-4.0
1020,Detroit,Washington,31,34,16,30,111,29,29,33,24,115,210.5,-6.5,211.5,-6.5,230,-280,104.0,-6.0
1020,Cleveland,Milwaukee,25,30,31,30,116,25,24,24,24,97,210.0,1.5,209.5,-1.0,-105,-115,103.0,-2.0
1020,Portland,Indiana,31,31,29,23,114,25,27,21,23,96,219.0,3.5,218.5,6.0,-230,185,112.5,0.5
1020,Orlando,Brooklyn,27,28,36,30,121,29,29,31,37,126,220.0,-1.0,226.0,-2.0,110,-130,111.0,-0.0
1020,Utah,Minnesota,16,26,23,32,97,19,27,24,30,100,200.0,-5.5,197.0,-5.0,170,-200,101.5,-1.5
1020,Sacramento,Dallas,19,27,25,22,93,23,23,14,28,88,203.0,-5.5,201.5,-6.0,200,-250,98.5,-4.0
1020,GoldenState,NewOrleans,26,35,37,30,128,39,25,26,30,120,222.5,6.5,221.0,9.0,-470,360,109.5,9.0
1020,LALakers,Phoenix,40,30,36,26,132,36,37,26,31,130,222.0,-2.5,220.5,-3.5,140,-160,110.5,-1.0
1021,Philadelphia,Toronto,19,30,22,23,94,36,26,40,26,128,216.0,-7.5,219.0,-8.5,292,-365,107.0,-0.0
1021,Orlando,Cleveland,36,20,32,26,114,18,27,20,28,93,212.5,-11.0,216.0,-11.5,588,-850,105.5,-13.0
1021,Dallas,Houston,20,19,19,33,91,33,29,30,15,107,214.5,-10.5,216.0,-11.5,588,-850,106.5,-0.5
1021,Detroit,NewYork,19,32,28,32,111,28,36,16,27,107,206.5,1.5,204.5,1.0,-115,-105,100.0,5.0
1021,Indiana,Miami,31,19,26,32,108,26,37,28,21,112,211.0,-8.5,213.5,-9.5,334,-425,104.5,-1.0
1021,SanAntonio,Chicago,19,22,24,22,87,21,17,17,22,77,202.0,7.5,200.5,10.0,-600,447,104.5,5.5
1021,GoldenState,Memphis,26,25,20,30,101,31,25,32,23,111,213.0,7.5,212.5,8.5,-375,299,105.5,8.5
1021,Portland,Milwaukee,26,29,25,30,110,24,36,24,29,113,213.5,-4.5,208.5,-3.0,130,-150,108.0,-0.5
1021,Sacramento,Denver,18,16,18,27,79,17,25,24,30,96,216.0,-11.0,212.5,-12.5,588,-850,103.0,-4.5
1021,OklahomaCity,Utah,14,20,23,30,87,21,23,29,23,96,200.5,4.0,200.0,4.0,-180,155,96.5,5.0
1021,Phoenix,LAClippers,18,26,20,24,88,23,35,32,40,130,220.0,-11.5,220.0,-13.5,857,-1450,113.0,-3.0
1022,Atlanta,Brooklyn,25,28,24,27,104,19,37,35,25,116,219.5,-2.5,220.0,-1.0,-105,-115,116.0,0.0
1022,Minnesota,OklahomaCity,28,33,27,27,115,23,31,21,38,113,211.5,-4.5,212.0,-4.0,150,-180,104.0,-4.5
1022,NewOrleans,LALakers,34,34,26,25,119,22,33,28,29,112,217.0,4.0,222.5,5.5,-210,175,110.5,-1.5
1023,Philadelphia,Detroit,31,25,19,22,97,22,21,24,19,86,213.0,-4.0,213.5,-3.0,140,-160,104.0,-5.5
1023,Atlanta,Miami,23,21,29,20,93,26,36,15,27,104,206.0,-11.5,205.0,-10.5,500,-700,106.0,-0.5
1023,Memphis,Houston,24,26,20,28,98,26,31,19,14,90,210.5,-8.0,213.5,-8.0,280,-360,105.0,-2.0
1023,Charlotte,Milwaukee,25,29,23,17,94,18,35,30,20,103,205.0,-6.0,203.5,-6.5,210,-260,101.0,-5.0
1023,GoldenState,Dallas,40,25,34,34,133,24,38,22,19,103,214.0,10.5,217.5,13.5,-1400,800,107.5,8.5
1023,Toronto,SanAntonio,23,27,24,23,97,21,29,25,26,101,206.0,-2.5,202.0,-2.5,125,-145,99.0,-2.0
1023,Washington,Denver,29,27,22,31,109,29,26,22,27,104,223.0,-2.5,224.0,-5.0,170,-200,108.5,-4.0
